position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year,place_gid,statefp,lat,lon
db,"Olney, Maryland",Good Counsel,65,189,4.5,5,6.1,2,Virginia Tech,Kendall Fuller,2013,22176,24,-77.0782448503442,39.1149358028191
qb,"Fork Union, Virginia",Fork Union Military Academy,78,212,4.8,5,6.1,2,Penn State,Christian Hackenberg,2013,28047,51,-82.5530804192167,36.6306319164713
ol,"Belle Vernon, Pennsylvania",Belle Vernon Area,78,280,4.9,5,6.1,2,Pittsburgh,Dorian Johnson,2013,26290,42,-79.8769337476017,40.1273486499712
lb,"Wyomissing, Pennsylvania",Wyomissing Area,78,229,4.7,5,6.1,2,Florida,Alex Anzalone,2013,26080,42,-75.979599422809,40.326904505274
dt,"Auburn, California",Placer,78,310,5.1,5,6.1,2,Notre Dame,Eddie Vanderdoes,2013,303,06,-121.07125055398,38.9035727991834
de,"Houston, Mississippi",Houston,78,250,,5,6.1,2,Mississippi State,Chris Jones,2013,5103,28,-88.9739130155398,33.881436113431
rb,"Beaverton, Oregon",Aloha,78,200,4.4,5,6.1,2,Oregon,Thomas Tyner,2013,2238,41,-122.834973047855,45.4555201903443
lb,"Miami, Florida",Booker T. Washington,78,205,4.6,5,6.1,2,Florida State,Matthew Thomas,2013,7974,12,-80.1988044922934,25.7709683123498
de,"Ashburn, Virginia",Stone Bridge,78,263,4.5,5,6.1,2,Alabama,Jonathan Allen,2013,28280,51,-77.515150390211,39.0514823365458
ol,"Marietta, Georgia",Walton,78,289,5.4,4,5.9,2,Georgia,Brandon Kublanow,2013,29419,13,-84.5449702020665,33.9958071136397
rb,"Norcross, Georgia",Norcross,65,197,4.6,4,6.0,2,Alabama,Alvin Kamara,2013,8685,13,-84.2258606345448,33.9370112971995
ol,"Madison, Florida",Madison,78,317,5.7,4,6.0,2,Florida State,Ira Denson,2013,7903,12,-83.4020573701757,30.4738768034148
qb,"Las Vegas, Nevada",Bishop Gorman,78,202,,4,5.9,2,Arizona,Anu Solomon,2013,1995,32,-115.343336215786,36.2103676020117
k,"Indian Trail, North Carolina",Porter Ridge,78,195,,3,5.5,2,Oregon,Matt Wogan,2013,24941,37,-80.666973567929,35.0558926716144
ath,"Sealy, Texas",Sealy,78,220,,4,6.0,2,Texas A&M,Ricky Seals-Jones,2013,6991,48,-96.1459247710541,29.7819750765636
wr,"Charlotte, North Carolina",Mallard Creek,78,205,,4,6.0,2,Tennessee,Marquez North,2013,24717,37,-80.8069041184665,35.3041782823402
rb,"Lakeland, Florida",Lake Gibson,78,245,,3,5.6,2,South Florida,Kennard Swanson,2013,8059,12,-81.9744730276685,28.0612562021211
te,"Lake Charles, Louisiana",Barbe,78,222,,4,6.0,2,LSU,DeSean Smith,2013,4536,22,-93.1949503572237,30.2388910868253
db,"Mission Viejo, California",Mission Viejo,78,195,,5,6.1,3,Notre Dame,Max Redfield,2013,630,06,-117.625177161267,33.6553146777929
lb,"Plano, Texas",Prestonwood Christian Academy,78,216,4.4,5,6.1,3,Ohio State,Mike Mitchell,2013,6930,48,-96.772939848978,33.0709300017971
dt,"Vienna, Georgia",Dooly County,78,290,,5,6.1,3,Auburn,Montravius Adams,2013,8910,13,-83.7684422844993,32.1075326329109
de,"Memphis, Tennessee",Central,78,260,5.1,5,6.1,3,LSU,Frank Herron,2013,5981,47,-90.0615164058722,35.0956381055067
db,"Nashville, Tennessee",Brentwood Academy,78,190,4.5,5,6.1,3,Florida State,Jalen Ramsey,2013,19900,47,-86.9032716580148,36.0514624411546
ol,"Dillon, South Carolina",Dillon,78,300,,3,5.7,3,South Carolina,Bryce King,2013,9225,45,-79.3589710654742,34.413079316531
rb,"Delray Beach, Florida",American Heritage School,65,197,,5,6.1,3,Notre Dame,Greg Bryant,2013,7827,12,-80.0659285680364,26.4868288951841
de,"Ramsey, New Jersey",Don Bosco Prep,78,225,,4,6.0,3,Miami (FL),Al-Quadin Muhammad,2013,22907,34,-74.166225254407,41.0625895827231
lb,"Lawrenceville, Georgia",Central Gwinnett,78,222,,4,5.9,3,Ohio State,Trey Johnson,2013,8683,13,-83.9738224582986,33.9526240733529
wr,"Rosenberg, Texas",Terry,78,215,4.6,4,6.0,3,Miami (FL),Derrick Griffin,2013,6864,48,-95.8928323486639,29.5129772785106
ol,"Dallas, Texas",Lake Highlands,78,300,,4,6.0,3,Texas,Kent Perkins,2013,6370,48,-96.7194069911759,32.9078957278251
ath,"Fultondale, Alabama",Fultondale,78,190,,4,6.0,3,Alabama,ArDarius Stewart,2013,3189,01,-86.7997870406098,33.6273750995265
rb,"St. Petersburg, Florida",Catholic,65,187,4.5,4,6.0,3,Florida State,Ryan Green,2013,7797,12,-82.6749256014312,27.6478972372413
qb,"Los Angeles, California",Cathedral,78,210,,4,6.0,3,LSU,Hayden Rettig,2013,546,06,-118.317060946381,34.0530439619006
k,"Prattville, Alabama",Prattville,65,170,,3,5.5,3,Kentucky,Austin MacGinnis,2013,3395,01,-86.4130300159991,32.4719634559544
te,"Camp Hill, Pennsylvania",Cedar Cliff,78,228,,4,6.0,3,Penn State,Adam Breneman,2013,26760,42,-76.924640081015,40.2487669362522
qb,"Kettering, Ohio",Archbishop Alter,78,196,,4,5.9,3,Notre Dame,Malik Zaire,2013,18816,39,-84.1254883535978,39.7229103523743
ol,"Lemont, Illinois",Lemont,78,285,,4,6.0,4,LSU,Ethan Pocic,2013,11331,17,-87.9438961697198,41.7030157159848
db,"Rossville, Georgia",Ridgeland,78,190,,5,6.1,4,Ohio State,Vonn Bell,2013,4331,13,-85.2871517470195,34.9666806551562
dt,"Fort Worth, Texas",Arlington Heights,78,320,5.1,5,6.1,4,Alabama,A'Shawn Robinson,2013,6595,48,-97.3554347189499,32.7572762663242
rb,"Joliet, Illinois",Joliet Catholic,0,215,,5,6.1,4,USC,Ty Isaac,2013,10835,17,-88.1078807270073,41.4554038558916
db,"Shreveport, Louisiana",Green Oaks,65,175,,5,6.1,4,LSU,Tre'Davious White,2013,4591,22,-93.9079609219679,32.4516507933394
lb,"Charlotte, North Carolina",Vance,78,215,4.6,4,5.9,4,South Carolina,Larenz Bryant,2013,24717,37,-80.7341364152969,35.27536641787
rb,"Greensboro, North Carolina",Northern Guilford,65,175,,4,6.0,4,North Carolina,T.J. Logan,2013,24561,37,-79.8541468957204,36.0196281895776
wr,"Monaca, Pennsylvania",Central Valley,78,187,,4,6.0,4,Alabama,Robert Foster,2013,26400,42,-80.274231558933,40.6768968533921
k,"Colorado Springs, Colorado",Classical Academy,78,195,,3,5.5,4,Auburn,Daniel Carlson,2013,10211,08,-104.707825199623,38.9299547256851
de,"Little Silver, New Jersey",Red Bank Regional,78,245,4.7,4,5.9,4,Penn State,Garrett Sickels,2013,23063,34,-74.0448232190031,40.338989267521
de,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,270,,4,6.0,4,Ohio State,Joey Bosa,2013,7864,12,-80.1214737968414,26.1852009459782
te,"Little Rock, Arkansas",Pulaski Academy,78,235,4.7,4,5.9,4,Arkansas,Hunter Henry,2013,3839,05,-92.3188603277187,34.6650841496608
ol,"New Orleans, Louisiana",Brother Martin,78,265,5.2,3,5.7,4,Florida State,Ryan Hoefeld,2013,4639,22,-90.0206898085275,29.9508150591917
lb,"Washington, District of Columbia",Friendship Collegiate Academy,78,240,,4,5.9,4,Maryland,Yannick Ngakoue,2013,21602,11,-76.9816324815429,38.944183436071
qb,"Southlake, Texas",Carroll,78,205,,4,5.9,4,Texas A&M,Kenny Hill,2013,6601,48,-97.1603502817653,32.9946214935457
rb,"Delray Beach, Florida",American Heritage School,78,235,,3,5.5,4,Syracuse,Tyler Provo,2013,7827,12,-80.1194748715961,26.4531298439418
ath,"Jackson, Louisiana",East Feliciana,78,228,4.7,4,5.9,4,LSU,Kendell Beckwith,2013,4576,22,-91.1985793837843,30.8415360302231
qb,"Warren, Michigan",De La Salle,78,183,4.6,4,6.0,4,Michigan,Shane Morris,2013,22658,26,-83.0077963157799,42.4497147605311
ol,"Everett, Massachusetts",Everett,78,295,,4,6.0,4,Notre Dame,John Montelus,2013,22392,25,-71.0539604542946,42.3935623765941
rb,"DeSoto, Texas",DeSoto,65,174,4.5,4,5.9,5,Ohio State,Dontre Wilson,2013,6399,48,-96.8753076163121,32.6299793131528
qb,"Montgomery, Alabama",Carver,78,215,,4,5.9,5,Auburn,Jeremy Johnson,2013,3354,01,-86.2803075118864,32.3239727398307
de,"Baton Rouge, Louisiana",University Laboratory School,78,235,,4,5.9,5,Alabama,Tim Williams,2013,4388,22,-91.1221680144198,30.3892235575433
rb,"Yulee, Florida",Yulee,78,243,4.5,4,6.0,5,Alabama,Derrick Henry,2013,8238,12,-81.5596218207252,30.6487853467707
qb,"Winter Park, Florida",Winter Park,78,205,,4,5.9,5,UCLA,Asiantii Woulard,2013,7777,12,-81.3330815344441,28.60886852187
de,"Jacksonville, Florida",Sandalwood,78,280,5.0,4,6.0,5,Florida State,DeMarcus Walker,2013,8112,12,-81.6712529755432,30.4997828962814
ol,"Carlsbad, California",La Costa Canyon,78,276,5.1,3,5.7,5,UCLA,Scott Quessenberry,2013,314,06,-117.284821947097,33.1524598639901
rb,"Augusta, Georgia",Aquinas,78,217,4.5,3,5.5,5,Georgia,Brendan Douglas,2013,8626,13,-82.1922704717496,33.3986061617402
ol,"Huntsville, Alabama",Huntsville,78,301,,4,6.0,5,Alabama,Grant Hill,2013,3170,01,-86.580957400776,34.7599889124034
ath,"San Diego, California",Lincoln,78,185,,4,5.9,5,Oregon,Tyrell Robinson,2013,327,06,-117.071784549149,32.8537450957405
dt,"Baltimore, Maryland",Gilman School,78,260,,4,6.0,5,Michigan,Henry Poggi,2013,21915,24,-76.5516454842681,39.3632566454134
lb,"Jacksonville, Florida",First Coast,78,220,,4,5.9,5,Florida,Daniel McMillian,2013,8112,12,-81.4298869497316,30.2597857191062
wr,"Fort Valley, Georgia",Peach County,78,200,,4,6.0,5,Florida,Demarcus Robinson,2013,8641,13,-83.8985052303669,32.5637962794446
lb,"Cypress, Texas",Cypress Woods,78,215,,4,5.9,5,Texas,Deoundrei Davis,2013,6453,48,-95.4780150414917,29.604880557439
te,"Pickerington, Ohio",Pickerington North,78,235,,4,5.9,5,Michigan,Jake Butt,2013,25203,39,-82.7832772148199,39.8696001877725
db,"Rancho Cucamonga, California",Rancho Cucamonga,65,170,,4,6.0,5,USC,Chris Hawkins,2013,607,06,-117.507608316357,34.1569190747555
db,"Newnan, Georgia",Newnan,78,194,4.7,4,6.0,5,Georgia,Tray Matthews,2013,4343,13,-84.8080078231072,33.3412691011304
ol,"Midland, Michigan",Midland,78,305,5.0,4,6.0,5,Notre Dame,Steve Elmer,2013,14740,26,-84.2557707287665,43.6489894363849
k,"Danville, California",San Ramon Valley,78,175,,3,5.5,5,California,Matt Anderson,2013,366,06,-121.982974197907,37.8412508829201
db,"Tempe, Arizona",Marcos De Niza,78,185,4.4,4,6.0,6,UCLA,Priest Willis,2013,29372,04,-111.888757231143,33.4171686938978
ol,"Centerville, Ohio",Centerville,78,265,,4,5.9,6,Ohio State,Evan Lisle,2013,18815,39,-84.1422828337752,39.6699611767731
te,"Riverside, California",J.W. North,78,233,,4,5.9,6,Ohio State,Marcus Baugh,2013,492,06,-117.441142171042,33.9282080672522
wr,"Mission Hills, California",Bishop Alemany,65,176,4.6,4,6.0,6,USC,Steven Mitchell,2013,1005,06,-120.441757099118,34.6812851387796
k,"Kennesaw, Georgia",Harrison,78,175,,3,5.5,6,Auburn,Jimmy Hutchinson,2013,4355,13,-84.5906051379796,34.0250664746099
lb,"Concord, California",De La Salle,78,210,,4,5.9,6,USC,Michael Hutchings,2013,365,06,-121.997869529379,37.9765326090734
rb,"Memphis, Tennessee",Whitehaven,65,193,4.7,4,5.9,6,Mississippi,Mark Dodson Jr.,2013,5981,47,-89.7805407581598,35.1306369026696
ath,"San Diego, California",Lincoln,78,180,,4,5.9,6,Oregon,Tyree Robinson,2013,327,06,-116.988448925573,33.0899180473265
dt,"Dallas, Texas",Kimball,78,275,5.0,4,5.9,6,Texas A&M,Justin Manning,2013,6370,48,-96.5113528930795,32.9416857490476
de,"Bealeton, Virginia",Liberty,78,264,5.0,4,6.0,6,Virginia Tech,Wyatt Teller,2013,28403,51,-77.7910324412117,38.5985673260288
lb,"Indianapolis, Indiana",Warren Central,78,226,4.6,4,5.9,6,Georgia,Tim Kimbrough,2013,12179,18,-86.0870151361312,39.7896227042189
rb,"Belle Glade, Florida",Glades Day,65,216,4.6,4,6.0,6,Florida,Kelvin Taylor,2013,7822,12,-80.6847653048682,26.6928027854435
db,"Trotwood, Ohio",Trotwood-Madison,78,203,4.6,4,6.0,6,Ohio State,Cameron Burrows,2013,18974,39,-84.2569141349146,39.8171206071904
de,"Moore, Oklahoma",Southmoore,78,245,4.5,4,5.9,6,Oklahoma,D.J. Ward,2013,5594,40,-97.4619823411886,35.3494376958339
qb,"Ashburn, Virginia",Stone Bridge,78,218,,4,5.9,6,Stanford,Ryan Burns,2013,28280,51,-77.4943620388371,39.0393379588837
qb,"Marietta, Georgia",Marietta,78,202,4.5,4,5.9,6,LSU,Anthony Jennings,2013,29419,13,-84.5341273808633,33.9610353064407
ol,"Plainfield, Illinois",Plainfield East,78,269,5.0,3,5.7,6,Northwestern,Tyler Lancaster,2013,10836,17,-88.2053704543014,41.6104692694894
qb,"Wichita Falls, Texas",Rider,78,209,,4,5.9,7,Ohio State,J.T. Barrett,2013,6786,48,-98.5798160691786,33.8691429177151
dt,"Hoschton, Georgia",Mill Creek,78,282,4.7,4,5.9,7,South Carolina,Kelsey Griffin,2013,9024,13,-83.7664672613033,34.1014788127685
db,"Immokalee, Florida",Immokalee,65,175,,4,6.0,7,Clemson,Mackensie Alexander,2013,8256,12,-81.409153999492,26.4268830868631
lb,"Tallahassee, Florida",Lincoln,78,230,4.6,4,5.8,7,Louisville,James Hearns,2013,7899,12,-84.2510741232696,30.4184750776732
wr,"Seffner, Florida",Armwood,65,170,,4,6.0,7,Florida,Alvin Bailey,2013,8395,12,-82.2725838882358,27.9940679544416
db,"Bushnell, Florida",South Sumter,78,203,4.6,4,6.0,7,Florida,Keanu Neal,2013,7802,12,-82.1132417747792,28.6821057647154
qb,"Colleyville, Texas",Heritage,78,220,4.5,4,5.9,7,Oklahoma,Cody Thomas,2013,6638,48,-97.1361310685363,32.9042167443495
de,"Muscle Shoals, Alabama",Muscle Shoals,78,281,,4,6.0,7,Alabama,Dee Liner,2013,3284,01,-87.6439698075135,34.7316835773867
rb,"Cypress, Texas",Cypress Ranch,65,195,,4,6.0,7,Oklahoma,Keith Ford,2013,6453,48,-95.4374516495957,29.7660615836817
ath,"Nashville, Tennessee",Ensworth,65,170,4.5,4,5.9,7,Miami (FL),Cornelius Elder,2013,19900,47,-86.9667558650026,36.1184038559768
de,"Houston, Texas",Alief Taylor,78,201,4.7,4,5.8,7,Oregon,Torrodney Prevot,2013,6453,48,-95.4821090131894,29.6454494933291
te,"Parker, Colorado",Chaparral,78,230,,4,5.8,7,Vanderbilt,Mitchell Parsons,2013,10082,08,-104.777869710641,39.5251497088822
lb,"Matthews, North Carolina",Butler,78,238,4.6,4,5.9,7,Stanford,Peter Kalambayi,2013,24720,37,-80.724070390258,35.1130604400703
ol,"Rancho Santa Margarita, California",Santa Margarita Catholic,78,313,,3,5.7,7,Washington,Dane Crane,2013,634,06,-117.569056411703,33.6198829708491
k,"Linwood, New Jersey",Mainland Regional,78,205,,3,5.5,7,Temple,Jim Cooper Jr.,2013,22819,34,-74.5681525981817,39.3441906776204
rb,"Killeen, Texas",Shoemaker,65,195,4.5,3,5.7,7,Baylor,Johnny Jefferson,2013,6161,48,-97.6806838315332,31.1240287199032
ol,"New Iberia, Louisiana",Westgate,78,305,,4,5.9,7,LSU,Josh Boutte,2013,4518,22,-91.7877496307588,30.0037615374328
ol,"Wheaton, Illinois",St. Francis,78,311,5.5,4,5.9,7,Michigan,Kyle Bosch,2013,11361,17,-88.0821889787333,41.8645062848187
rb,"Miami, Florida",Columbus,65,190,,3,5.7,8,Indiana,Daryl Chestnut,2013,7974,12,-80.2253443179642,25.7488536585054
ol,"Prattville, Alabama",Prattville,78,284,5.2,4,5.9,8,Mississippi,Austin Golson,2013,3395,01,-86.3955674426137,32.4449984749254
qb,"Bradenton, Florida",Manatee,78,205,,4,5.9,8,Mississippi State,Cord Sandberg,2013,7816,12,-82.6110301822238,27.4608022556081
wr,"Fort Worth, Texas",Southwest,78,186,4.5,4,6.0,8,Baylor,Robbie Rhodes,2013,6595,48,-97.3763591085354,32.7581881564839
de,"Avon, Indiana",Avon,78,249,4.8,4,5.9,8,Auburn,Elijah Daniel,2013,12305,18,-86.3981094734688,39.770141027442
ol,"Honolulu, Hawaii",St. Louis,78,321,5.5,4,5.9,8,Arkansas,Reeve Koehler,2013,1781,15,-157.812001027359,21.300216820354
db,"Orlando, Florida",Dr. Phillips,78,207,4.6,4,6.0,8,Florida,Marcell Harris,2013,7774,12,-81.461029115785,28.4602935638767
rb,"North Little Rock, Arkansas",North Little Rock,78,212,4.5,4,6.0,8,Alabama,Altee Tenpenny,2013,3841,05,-92.2495488749665,34.786259419349
de,"Louisville, Kentucky",Trinity,78,240,4.8,4,5.8,8,Kentucky,Jason Hatcher,2013,14486,21,-85.8504655433949,38.1709376795484
qb,"Kentfield, California",Marin Catholic,78,190,,4,5.9,8,California,Jared Goff,2013,739,06,-122.55857233689,37.9370141246787
db,"Voorhees, New Jersey",Eastern,78,185,4.5,4,5.9,8,Ohio State,Eli Apple,2013,23115,34,-74.4915485298502,40.4771347745207
lb,"Olney, Maryland",Good Counsel,78,201,4.6,4,5.9,8,Clemson,Dorian O'Daniel,2013,22176,24,-77.0942594636815,39.1656253627774
ath,"Tulsa, Oklahoma",East Central,65,165,4.5,4,5.8,8,Oklahoma,Stanvon Taylor,2013,19211,40,-95.8673085491221,36.1923791978186
dt,"Carthage, Texas",Carthage,78,295,4.9,4,5.9,8,Texas A&M,Isaiah Golden,2013,6698,48,-94.3223126773088,32.1401137105486
k,"Snoqualmie, Washington",Mount Si,65,160,,3,5.5,8,Washington,Cameron Van Winkle,2013,2642,53,-121.844467985036,47.5372834781837
lb,"Anderson, South Carolina",T. L. Hanna,78,225,4.7,4,5.8,8,Clemson,Ben Boulware,2013,9294,45,-82.6677929878458,34.5027668911467
ol,"Houston, Texas",Klein Collins,78,280,5.1,3,5.6,8,West Virginia,Tyler Tezeno,2013,6453,48,-95.481940234641,29.8151338590663
te,"Naples, Florida",Barron Collier,78,220,4.7,4,5.8,8,Notre Dame,Mike Heuerman,2013,7910,12,-81.7833633288686,26.1245747568347
qb,"Terre Haute, Indiana",Terre Haute South Vigo,78,200,,4,5.8,9,Purdue,Danny Etling,2013,12010,18,-87.3885731912367,39.5081061223739
lb,"Woodbridge, Virginia",C. D. Hylton,78,226,,4,5.9,9,Florida State,E.J. Levenberry Jr.,2013,28458,51,-77.2554939679986,38.669317866059
rb,"Stockton, California",Lincoln,78,194,4.7,4,6.0,9,USC,Justin Davis,2013,461,06,-121.313441924573,38.0181318414272
db,"Rancho Cucamonga, California",Rancho Cucamonga,78,185,,4,6.0,9,UCLA,Tahaan Goodman,2013,607,06,-117.610338870497,34.1118260415549
wr,"Louisville, Kentucky",Trinity,78,180,4.4,4,6.0,9,Louisville,James Quick,2013,14486,21,-85.7025795614359,38.0923563469438
dt,"Crescent City, Florida",Crescent City,78,304,5.4,4,5.9,9,Florida,Caleb Brantley,2013,8093,12,-81.5147777794505,29.4167279324606
db,"Bastrop, Texas",Bastrop,78,180,4.4,4,5.9,9,Texas,Antwuan Davis,2013,6204,48,-97.3467818477747,30.1139116965987
de,"Tampa, Florida",Hillsborough,78,234,4.8,4,5.8,9,Florida,Jordan Sherit,2013,8009,12,-82.4635169663448,27.9830219124737
ol,"Washington, District of Columbia",Friendship Collegiate Academy,78,291,,4,5.9,9,Maryland,Derwin Gray,2013,21602,11,-77.0584057285491,38.9701958113957
ath,"Piscataway, New Jersey",Piscataway,78,190,,4,5.8,9,Rutgers,Nadir Barnwell,2013,22952,34,-74.4599306187644,40.4832024037318
te,"Manchester, Connecticut",Manchester,78,230,4.6,4,5.8,9,Maryland,Andrew Isaacs,2013,21461,09,-72.4904727836607,41.7904324860435
lb,"Macon, Georgia",Central,78,230,,4,5.8,9,Vanderbilt,Nigel Bowden,2013,8732,13,-83.6975456311614,32.8496084054953
de,"Redlands, California",East Valley,78,260,,4,5.9,9,UCLA,Kylie Fitts,2013,608,06,-117.122806454386,34.0231274116647
ol,"Detroit, Michigan",Cass Tech,78,282,5.5,4,5.8,9,Michigan,David Dawson,2013,29491,26,-83.1575629827608,42.4371839488086
qb,"Bolingbrook, Illinois",Bolingbrook,78,215,,4,5.9,9,Illinois,Aaron Bailey,2013,11330,17,-88.0571939613713,41.6808192413547
rb,"Chelsea, Michigan",Chelsea,65,185,4.4,3,5.7,9,Minnesota,Berkley Edwards,2013,14963,26,-84.0219075192987,42.3048339815151
ol,"Allen, Texas",Allen,78,280,,3,5.6,9,Northwestern,Brad North,2013,6900,48,-96.6787833655726,33.0889105611203
k,"Arlington, Texas",Martin,78,175,4.7,3,5.5,9,Oklahoma State,Ben Grogan,2013,6630,48,-97.1017201391271,32.7015924358981
ol,"Alpharetta, Georgia",Milton,78,288,5.4,3,5.6,10,Wake Forest,Cory Helms,2013,8656,13,-84.2207392831444,34.0814887440087
ol,"Memphis, Tennessee",Memphis East,78,293,5.4,4,5.9,10,UCLA,Christian Morris,2013,5981,47,-89.9434508528777,35.2248818382041
dt,"Pendleton, South Carolina",Pendleton,78,315,,4,5.9,10,Ohio State,Michael Hill,2013,9300,45,-82.8006440741791,34.6480740172767
lb,"Dayton, Ohio",Chaminade-Julienne,78,250,5.0,4,5.8,10,West Virginia,Darrien Howard,2013,18963,39,-84.2175476977397,39.7533218296321
k,"Atlanta, Georgia",Westminster,78,170,,3,5.5,10,Georgia Tech,Harrison Butker,2013,8767,13,-84.4378776516243,33.7527489400047
rb,"West Hills, California",Chaminade,65,180,,4,6.0,10,Nebraska,Terrell Newby,2013,546,06,-118.409783036829,34.2076206115154
rb,"Deland, Florida",Deland,65,189,4.7,3,5.7,10,Kentucky,Jojo Kemp,2013,7986,12,-81.2677800609701,28.9847075771129
qb,"Virginia Beach, Virginia",Salem,78,225,4.6,4,5.8,10,Virginia Tech,Bucky Hodges,2013,28035,51,-76.0976136914955,36.8556822795792
qb,"Ellenwood, Georgia",Cedar Grove,78,200,,4,5.8,10,Vanderbilt,Johnathon McCrary,2013,8995,13,-84.3476425483999,33.5932398438117
ol,"Irving, Texas",Irving,78,320,5.5,4,5.8,10,Texas,Rami Hammad,2013,6404,48,-96.9197006411841,32.8122309918478
wr,"Moreno Valley, California",Rancho Verde,78,205,,4,6.0,10,Washington,Damore'ea Stringfellow,2013,485,06,-117.230450408028,33.8969108031073
lb,"Trotwood, Ohio",Trotwood-Madison,78,230,4.6,4,5.9,10,Michigan,Mike McCray,2013,18974,39,-84.3651715247231,39.7671899751065
db,"Detroit, Michigan",Cass Tech,65,159,4.7,4,5.9,10,Michigan,Jourdan Lewis,2013,29491,26,-83.1548208300747,42.4365936919218
ath,"Hilliard, Ohio",Darby,78,188,4.5,4,5.8,10,Illinois,Caleb Day,2013,25215,39,-83.1910917177381,40.0082627486659
de,"McDonough, Georgia",Eagle's Landing Christian,78,260,,4,5.9,10,Notre Dame,Isaac Rochell,2013,9015,13,-84.1230993173895,33.4608182009489
de,"Pickerington, Ohio",Pickerington Central,78,249,4.9,4,5.8,10,Michigan,Taco Charlton,2013,25203,39,-82.7735666588281,39.8934138751236
db,"Batesville, Mississippi",South Panola,78,202,,4,6.0,11,Mississippi,Antonio Conner,2013,4993,28,-89.886446075708,34.3404187478753
wr,"Orlando, Florida",Evans,78,175,,4,5.9,11,Auburn,Tony Stevens,2013,7774,12,-81.4606733571951,28.5201646719681
de,"Indianapolis, Indiana",Pike,78,250,4.9,4,5.8,11,Indiana,David Kenney,2013,12179,18,-86.1057912944603,39.6638599394203
qb,"Park Ridge, Illinois",Maine South,78,176,4.6,4,5.8,11,Northwestern,Matt Alviti,2013,11090,17,-87.8464597092737,42.0114584673632
ath,"Clarksville, Tennessee",Northeast,78,198,4.8,4,5.8,11,Tennessee,Jalen Reeves-Maybin,2013,19949,47,-87.3520067218426,36.5872118281277
rb,"Marietta, Georgia",Walton,65,215,,4,6.0,11,Alabama,Tyren Jones,2013,29419,13,-84.5732466884261,33.9241585292502
ol,"Bakersfield, California",Liberty,78,240,,3,5.6,11,Alabama,Cole Mazza,2013,373,06,-119.03803358586,35.3058106297568
